Name,Type,Faction,Category,Legendary,Dedication,Cost,Initiative,Backlash,Damage,Defense,Mentality,Tenacity,Effect1,Effect2,Effect3,,
Delete,Distort,Authority,Animalistic,No,2,4,,,,,,,Destroy A Dreamshape With A Cost Of 4 Or Less,,,,
Disarm,Distort,Authority,Elemental,No,2,2,,,,,,,Destory An Attachment,,,,
Reinforce,Distort,Authority,Void,No,1,2,,,,,,,Search Your Deck For A Dreamshape That Costs 4 Or Less And Put It Into Your Hand; Shuffle Deck,,,,
Shortage,Distort,Authority,Void,No,1,2,,,,,,,Opponents Cannot Gain Energy This Turn,,,,
Substitute,Distort,Authority,Void,No,1,1,,,,,,,Draw 2 Cards Then Discard 1 From Hand,,,,
Tax,Distort,Authority,Void,No,1,1,,,,,,,Opponents Left Over Energ At The End Of This Turn Is Discarded And Cannot Be Used For Any Effects,,,,
Tactical Change,Distort,Authority,Void,Yes,1,1,,,,,,,Swap A Card From Your Hand With One From The Deck That is Of Equal Or Less Cost; Shuffle Deck,,,,
Coin Of Greed,Distort,Havoc,Animalistic,No,1,0,,,,,,,Take 2 Morale Damage And Gain  2 Energy,,,,
Discard,Distort,Havoc,Void,No,1,3,,,,,,,Opponent Discards The Top 2 Cards From Thier Main Deck,,,,
Earthquake,Distort,Havoc,Elemental,No,1,4,,,,,,,Deal 1 Damage To All Enemy Units,,,,
Killing Blow,Distort,Havoc,Animalistic,No,1,2,,,,,,,Sacrifice An Ally Dreamshape To Deal 5 Damage To An Opponents Morale,,,,
Meteor Strike,Distort,Havoc,Void,No,1,0,,,,,,,Pay 2 Less Energy Than The Cost Of A Targeted Landmark; Then Destory Targeted Landmark,,,,
Retreat,Distort,Havoc,Void,No,1,2,,,,,,,Return Friendly Dreamshape To Your Hand; All Death Rules Apply But Take No Backlash,,,,
Resource Gain,Distort,Havoc,Void,No,1,0,,,,,,,Destory Friendly Dreamshape Gaining Energy Equal To Its Backlash Value,,,,
Sabotage,Distort,Havoc,Void,No,1,2,,,,,,,All Players Discard The Top 2 Cards From Thier Main Deck,,,,
Salvage,Distort,Havoc,Void,No,1,2,,,,,,,Place A Card From The Discard Into Your Hand; You Must Pay The Cards Cost,,,,
Sewer Rats,Distort,Havoc,Animalistic,No,1,5,,,,,,,"Summon 3 Ally Rat Tokens (I1, B1, A1, D1)",,,,
Supply Drop,Distort,Havoc,Elemental,No,1,0,,,,,,,Destory An Ally Landmark To Gain 3 Energy,,,,
Ultimatum,Distort,Havoc,Void,No,1,5,,,,,,,Opponent Chooses: Discard 2 Cards From Hand Or Lose 6 Morale,,,,
Weaken,Distort,Havoc,Shadow,No,1,1,,,,,,,Target Dreamshape Takes 1 Extra Damage From Attacks,,,,
Coin Of Opportunity,Distort,Mercenary,Void,No,0,0,,,,,,,Choose Any Faction; You Can Only Play Cards From That Faction For The Rest Of This Turn,,,,
Clan Pride,Distort,Outlander,Void,No,1,7,,,,,,,Gain 2 Morale For Each Outlander Dreamshape And Token In Play At The End Of This Turn,,,,
Coin Of Abundance,Distort,Outlander,Elemental,No,1,0,,,,,,,Gain 1 Energy Or 1 Dedication For The Turn,,,,
Flash Clone,Distort,Outlander,Mechanical,Yes,1,3,,,,,,,Copy An Ally 4 Cost Or Less Dreamshape With No Effects In Any Available Space,,,,
One Of Us,Distort,Outlander,Void,No,1,2,,,,,,,All Units Of A Chosen Category Are Considered Outlander For The Turn,,,,
Rapid Deployment,Distort,Outlander,Elemental,No,2,2,,,,,,,All Flora And Elemental Cards You Play This Turn Do Not Have A Reaction Phase After Them,,,,
Rise Of The Wormys,Distort,Outlander,Flora,Yes,3,4,,,,,,,Play 3 Wormy Dreamshapes From Your Discard Onto The Field,,,,
Thunder Clap,Distort,Outlander,Elemental,No,2,6,,,,,,,All Dreamshapes And Tokens Take 2 Damage; Ally Dreamshapes And Tokens Gain 1 Attack For Every Dreamshape That Died From This Effect,,,,
Coin Of Choice,Distort,Sect13,Mechanical,No,1,0,,,,,,,Draw 2 Cards Then Discard 2 Cards From Hand,,,,
Copy,Distort,Sect13,Shadow,No,1,3,,,,,,,Grant A Dreamshapes' Natural Keyword To A Mercenary Or Sect13 Dreamshape With No Natural Effect,,,,
Illusion,Distort,Sect13,Flora,No,1,1,,,,,,,Copy A Dreamshape With Its Current Stats To An Empty Adjacent Square Becoming Its Own Dreamshape; You Must Additionally Pay The Cost Of The Dreamshape,,,,
Landslide,Distort,Sect13,Void,No,1,2,,,,,,,Move A Landmark To An Available Space,,,,
Portal,Distort,Sect13,Elemental,Yes,1,0,,,,,,,Allow 1 Placement Of A Dreamshape At Target Spot As If It Had Castor,,,,
Retrieve,Distort,Sect13,Void,Yes,1,0,,,,,,,Take 1 Distort Or Warp From Your Discard,,,,
Strip,Distort,Sect13,Shadow,No,2,3,,,,,,,Remove All Natural Effects From A Dreamshape,,,,
Taunt,Distort,Sect13,Animalistic,No,1,1,,,,,,,Reduce A Dreamshapes Attack By 2,,,,
Trade,Distort,Sect13,Shadow,No,1,2,,,,,,,Swap 2 Ally Dreamshapes' Natural Effects,,,,
Ambassador Of Asylum,Dreamshape,Asylum,Void,No,1,7,1,3,0,7,,,On Turn End If 3 Cards with [Ambassador] In Its Name From 3 Different Factions Are Alive Reduce Opponents Morale To 0,Only 6 Other Cards With [Ambassador] In Its Name Can Be In The Main Deck,,,
Contender,Dreamshape,Asylum,Void,No,1,6,4,2,5,9,,,None,,,,
Duke,Dreamshape,Asylum,Void,No,1,5,3,3,4,8,,,None,,,,
Entrencher,Dreamshape,Asylum,Flora,No,1,8,4,7,0,20,,,None,,,,
Gardener,Dreamshape,Asylum,Flora,No,1,5,3,2,3,4,,,Active Play Flora Cards Regardless Of Faction Restrictions,,,,
Field Medic,Dreamshape,Asylum,Flora,No,1,4,4,2,0,4,,,End Of Turn Restore 2 Defense To All Adjacent Dreamshapes; Cannot Exceed Default Defense,,,,
Extendo,Dreamshape,Asylum,Mechanical,No,1,6,2,4,5,7,,,Branch,,,,
Hally The Healer,Dreamshape,Asylum,Flora,No,1,6,3,3,6,6,,,On Spawn Give A Dreamshape 2 Defense,Reimagine[2][Give A Different Dreamshape 2 Defense],,,
Generator,Dreamshape,Asylum,Flora,Yes,2,12,3,8,0,6,,,On Spawn Reduce An Enemy Dreamshape's Attack By 2,Revitalize[10],,,
Pacifist Preston,Dreamshape,Asylum,Animalistic,No,1,3,2,3,2,5,,,Reimagine[1][Increase Attack By 1],Reimagine[2][Increase Attack By 2],,,
Persistent Bob,Dreamshape,Asylum,Animalistic,No,1,5,3,3,3,6,,,Drain[1],Reimagine[3][Bash],,,
Peacekeeper,Dreamshape,Asylum,Shadow,No,1,5,4,2,0,2,,,Active All Dreamshapes And Tokens In | Cannot Attack,,,,
Pal,Dreamshape,Asylum,Elemental,No,1,3,4,2,0,5,,,Revitalize[2],,,,
Punching Tree,Dreamshape,Asylum,Flora,No,3,7,1,4,5,8,,,Swift,Branch,,,
Scavanger,Dreamshape,Asylum,Elemental,No,1,4,1,4,4,4,,,Reimagine[1][Kill[Gain Armor[1]]],,,,
Sapper,Dreamshape,Asylum,Void,No,1,2,1,2,2,1,,,Drain[1],,,,
Shielder,Dreamshape,Asylum,Mechanical,No,1,5,4,3,5,4,,,Armor[2],Reimagine[1][Increase Armor[] Value By 1],,,
Sorceress,Dreamshape,Asylum,Mechanical,No,2,7,4,3,6,5,,,Ranged,Kill[Gain 2 Defense],,,
Sprout,Dreamshape,Asylum,Flora,No,1,3,3,1,0,6,,,None,,,,
Surviver,Dreamshape,Asylum,Flora,No,2,6,4,2,2,2,,,On Death This Dreamshape Is Returned To The Same Spot At The Start Of The Next Turn For Free,,,,
Vulture,Dreamshape,Asylum,Elemental,No,2,8,4,6,7,4,,,Swift,Drain[3],,,
Venus,Dreamshape,Asylum,Flora,No,1,3,2,3,3,3,,,Swift,Kill[Gain Revitalize[1]],,,
Wolfy,Dreamshape,Asylum,Animalistic,No,1,9,3,6,5,10,,,Bash,,,,
Redwood Knocker,Dreamshape,Asylum ,Flora,No,2,6,3,3,7,3,,,Armor[3],,,,
Ambassador Of Authority,Dreamshape,Authority,Void,No,1,7,2,4,2,3,,,Armor[2],On Turn End If 3 Cards with [Ambassador] In Its Name From 3 Different Factions Are Alive Reduce Opponents Morale To 0,Only 6 Other Cards With [Ambassador] In Its Name Can Be In The Main Deck,,
Ammo Buddy,Dreamshape,Authority,Void,No,1,8,4,6,10,10,,,Reimagine[2][Recharge[2]],,,,
Annihilator,Dreamshape,Authority,Void,No,1,5,1,4,4,3,,,Active Negate All Opponents On Death Effects,,,,
Berserker,Dreamshape,Authority,Animalistic,No,2,8,2,6,4,7,,,Overkill,Bash,,,
Bunker Buster,Dreamshape,Authority,Elemental,No,1,7,1,5,7,6,,,Kill[Landmark Effects Do Not Trigger From Dying Dreamshape],,,,
Builder,Dreamshape,Authority,Void,No,1,2,3,2,1,1,,,On Spawn Place Landmark From Discard Into Play,,,,
Bubbles,Dreamshape,Authority,Mechanical,No,1,3,2,3,3,3,,,Armor[1],,,,
Breaker,Dreamshape,Authority,Mechanical,No,1,5,4,4,5,5,,,Branch,Overkill,,,
Chain,Dreamshape,Authority,Mechanical,No,1,6,3,5,7,8,,,None,,,,
Duelist,Dreamshape,Authority,Mechanical,No,1,3,1,4,2,2,,,Armor[2],Swift,,,
Enforcer,Dreamshape,Authority,Elemental,Yes,2,15,3,7,7,7,,,On Spawn Destory All Enemy Dreamshapes And Tokens In |,,,,
Elley,Dreamshape,Authority,Animalistic,No,1,4,4,4,4,5,,,Overkill,,,,
Flexor,Dreamshape,Authority,Flora,No,1,5,3,3,4,4,,,On Spawn Choose To Gain 2 Damage Or 2 Defense,,,,
General,Dreamshape,Authority,Elemental,No,4,20,4,11,12,11,,,On Spawn Give All Animalistic Dreamshapes Bash And All Mechanical Dreamshapes Armor[3],Barrier,,,
Grenadier,Dreamshape,Authority,Mechanical,No,1,3,1,4,4,2,,,Reimagine[1][Branch],,,,
Gimblet,Dreamshape,Authority,Mechanical,No,1,4,3,2,4,4,,,Branch,,,,
Limiter,Dreamshape,Authority,Void,No,1,4,4,3,0,2,,,Active Players Can Only Play 1 Dreamshape Per Turn; This Card Must Be The First Played Card In Placement Phase,,,,
Marksman,Dreamshape,Authority,Mechanical,No,1,7,4,5,4,6,,,Ranged,Bash,,,
Monk,Dreamshape,Authority,Void,No,1,4,3,2,4,4,,,On Spawn Discard An Attachment From An Enemy Dreamshape,,,,
Momento,Dreamshape,Authority,Elemental,No,1,6,2,5,7,6,,,Revitalize[0],Kill[Increase Revitalize[] By 1],,,
Modulator,Dreamshape,Authority,Elemental,No,3,7,2,4,4,5,,,Active All Elemental Dreamshapes Gain Ranged,,,,
Provider,Dreamshape,Authority,Void,No,1,2,1,3,0,4,,,Recharge[2],,,,
Rushie,Dreamshape,Authority,Mechanical,No,1,3,3,3,3,1,,,Castor,,,,
Scapegoat,Dreamshape,Authority,Flora,No,1,3,4,0,0,3,,,Castor,,,,
Sheriff,Dreamshape,Authority,Elemental,No,1,8,4,6,10,10,,,None,,,,
SGT Gunnery,Dreamshape,Authority,Elemental,No,1,2,3,2,2,2,,,Ranged,,,,
Silencer,Dreamshape,Authority,Void,No,2,5,4,4,3,3,,,Active Negate All Enemy Keywords,,,,
Snip,Dreamshape,Authority,Mechanical,No,2,7,2,5,5,6,,,Overkill,Reimagine[2][Ranged],,,
Slicer,Dreamshape,Authority,Animalistic,No,1,10,2,7,12,10,,,None,,,,
Storm Caller,Dreamshape,Authority,Elemental,No,1,4,3,4,4,5,,,On Spawn Deal 2 Damage To A Dreamshape Or Token,,,,
Spinner,Dreamshape,Authority,Mechanical,No,1,5,2,4,6,5,,,None,,,,
Striker,Dreamshape,Authority,Elemental,No,1,4,4,4,5,6,,,Swift,,,,
Tanker,Dreamshape,Authority,Mechanical,No,2,10,4,7,11,8,,,Armor[4],,,,
Void Caller,Dreamshape,Authority,Void,No,3,4,2,4,2,6,,,Active Void Distorts And Warps Ignore Faction Restrictions,,,,
Zapper,Dreamshape,Authority,Animalistic,Yes,1,6,4,4,6,8,,,Castor,,,,
Ambassador Of Havoc,Dreamshape,Havoc,Void,No,1,7,2,6,0,4,,,Poison[6],On Turn End If 3 Cards with [Ambassador] In Its Name From 3 Different Factions Are Alive Reduce Opponents Morale To 0,Only 6 Other Cards With [Ambassador] In Its Name Can Be In The Main Deck,,
Arty,Dreamshape,Havoc,Mechanical,No,1,5,2,4,3,4,,,Trash[2],Ranged,,,
Assassin,Dreamshape,Havoc,Animalistic,No,1,6,4,5,5,3,,,Castor,Volatile[1],,,
Bombadier,Dreamshape,Havoc,Void,No,1,2,4,2,2,1,,,On Death Apply 2 Poison Stacks To All Enemies In |,,,,
Captain,Dreamshape,Havoc,Void,No,3,15,2,10,16,16,,,Tribute Costs 10 Less If You Sacrifice 2 Ally Dreamshapes That Cost 5 Or More,,,,
Chem,Dreamshape,Havoc,Elemental,No,1,8,2,8,11,7,,,On Spawn Deal 2 Damage To A Unit In This | (Column),,,,
Destroyer,Dreamshape,Havoc,Animalistic,No,2,4,1,3,6,1,,,Volatile[1],Kill[Gain 1 Defense],,,
Demolitionist,Dreamshape,Havoc,Animalistic,No,2,2,1,3,5,1,,,Volatile[1],,,,
Decayer,Dreamshape,Havoc,Flora,No,1,3,3,2,1,10,,,Castor,Volatile[2],,,
Dropper,Dreamshape,Havoc,Void,No,1,5,3,4,6,5,,,On Spawn All Players Trash 2 Cards,,,,
Endless Feeder,Dreamshape,Havoc,Animalistic,Yes,1,6,2,5,7,7,,,Kill[Attack Again Next Initiative],,,,
Fanatic,Dreamshape,Havoc,Shadow,No,2,8,1,6,2,4,,,Bash,Lethal,Volatile[2],,
Leaker,Dreamshape,Havoc,Shadow,No,1,2,2,2,2,3,,,On Spawn Apply 1 Poison Stack To Self;,Poison[1],,,
Junker,Dreamshape,Havoc,Void,No,1,3,2,2,0,4,,,Trash[1],,,,
Jester,Dreamshape,Havoc,Shadow,No,2,5,4,6,0,1,,,On Death Kill All Dreamshapes And Tokens In |,,,,
Martyr,Dreamshape,Havoc,Void,No,1,1,4,3,0,1,,,Castor,,,,
Necromancer,Dreamshape,Havoc,Void,Yes,1,4,4,3,1,4,,,Active Allies In - & | Gain On Death[Draw Card],,,,
Nimbus,Dreamshape,Havoc,Elemental,No,3,6,4,6,10,5,,,None,,,,
Rebounder,Dreamshape,Havoc,Elemental,No,2,5,4,5,0,5,,,Volatile[1],Active When This Card Takes Volatile Damage Deal 4 Damage To Any Enemy Dreamshape Or Token,,,
Retractor,Dreamshape,Havoc,Void,No,1,7,2,5,4,7,,,Trash[2],Reimagine[2][Revitalize[2]],,,
Shocker,Dreamshape,Havoc,Elemental,No,1,4,1,3,2,2,,,On Spawn Deal Damage Equal To The Total Number Of Animalistic Units On The Field To A Unit,,,,
Spearman,Dreamshape,Havoc,Animalistic,No,1,3,4,4,6,1,,,None,,,,
Slugger,Dreamshape,Havoc,Animalistic,No,4,20,3,10,4,12,,,On Spawn Deal 2 Damage To All Enemies; For Each Kill Gain 2 Attack,Bash,,,
Tig,Dreamshape,Havoc,Animalistic,No,2,5,2,7,8,4,,,None,,,,
Wormy,Dreamshape,Mercenary,Flora,No,0,2,1,2,1,2,,,None,,,,
Froggy,Dreamshape,Mercenary,Shadow,No,0,2,2,2,2,2,,,None,,,,
Awkward Bot,Dreamshape,Mercenary,Elemental,No,0,2,3,2,3,2,,,None,,,,
Phly,Dreamshape,Mercenary,Animalistic,No,0,2,4,2,3,3,,,None,,,,
Shwimmy,Dreamshape,Mercenary,Void,No,0,3,1,3,2,3,,,None,,,,
Kat,Dreamshape,Mercenary,Elemental,No,0,3,2,3,3,3,,,None,,,,
Virus,Dreamshape,Mercenary,Animalistic,No,0,3,3,3,4,3,,,None,,,,
Tutsie,Dreamshape,Mercenary,Shadow,No,0,3,4,3,4,4,,,None,,,,
Splash,Dreamshape,Mercenary,Flora,No,0,4,1,4,4,4,,,None,,,,
Drake,Dreamshape,Mercenary,Void,No,0,4,2,4,4,5,,,None,,,,
Moose,Dreamshape,Mercenary,Shadow,No,0,4,3,4,6,4,,,None,,,,
Weed Wack,Dreamshape,Mercenary,Void,No,0,4,4,4,5,6,,,None,,,,
Biolauncher,Dreamshape,Mercenary,Elemental,No,0,5,1,4,4,5,,,None,,,,
Bare,Dreamshape,Mercenary,Flora,No,0,5,2,4,5,5,,,None,,,,
Shaman,Dreamshape,Mercenary,Animalistic,No,0,5,3,4,6,5,,,None,,,,
Wreek,Dreamshape,Mercenary,Flora,No,0,5,4,4,6,6,,,None,,,,
Rob,Dreamshape,Mercenary,Elemental,No,0,6,1,5,6,6,,,None,,,,
Sparky,Dreamshape,Mercenary,Animalistic,No,0,6,2,5,6,7,,,None,,,,
Ratler,Dreamshape,Mercenary,Shadow,No,0,6,3,5,8,6,,,None,,,,
Spikey,Dreamshape,Mercenary,Shadow,No,0,6,4,5,7,8,,,None,,,,
Spar,Dreamshape,Mercenary,Void,No,0,7,1,5,6,7,,,None,,,,
Leeon,Dreamshape,Mercenary,Flora,No,0,7,2,5,7,7,,,None,,,,
Charger,Dreamshape,Mercenary,Elemental,No,0,7,3,5,8,7,,,None,,,,
Baller,Dreamshape,Mercenary,Void,No,0,7,4,5,8,8,,,None,,,,
Howler,Dreamshape,Mercenary,Shadow,No,0,8,1,6,8,8,,,None,,,,
Blade,Dreamshape,Mercenary,Flora,No,0,8,2,6,8,9,,,None,,,,
Scardy Cat,Dreamshape,Mercenary,Flora,No,0,8,3,6,10,8,,,None,,,,
Orka,Dreamshape,Mercenary,Void,No,0,8,4,6,9,10,,,None,,,,
Dino,Dreamshape,Mercenary,Shadow,No,0,9,1,6,8,9,,,None,,,,
Kill Bot,Dreamshape,Mercenary,Animalistic,No,0,9,2,6,9,9,,,None,,,,
Boom Buster,Dreamshape,Mercenary,Elemental,No,0,9,3,6,10,9,,,None,,,,
Scorpo,Dreamshape,Mercenary,Shadow,No,0,9,4,6,10,10,,,None,,,,
Hopper,Dreamshape,Mercenary,Flora,No,0,10,1,7,10,10,,,None,,,,
Tree Smasher,Dreamshape,Mercenary,Void,No,0,10,2,7,10,11,,,None,,,,
Night Rider,Dreamshape,Mercenary,Elemental,No,0,10,3,7,12,10,,,None,,,,
Sword Master,Dreamshape,Mercenary,Animalistic,No,0,10,4,7,11,12,,,None,,,,
Crusher,Dreamshape,Mercenary,Mechanical,No,0,12,1,8,12,12,,,None,,,,
Bone Dragon,Dreamshape,Mercenary,Animalistic,No,0,12,2,8,12,13,,,None,,,,
Werewolf,Dreamshape,Mercenary,Animalistic,No,0,12,3,8,14,12,,,None,,,,
Gas Monster,Dreamshape,Mercenary,Shadow,No,0,12,4,8,13,14,,,None,,,,
Man-Eater,Dreamshape,Mercenary,Flora,No,0,15,1,9,14,15,,,None,,,,
Ninja,Dreamshape,Mercenary,Shadow,No,0,15,2,9,15,15,,,None,,,,
Tiny Terror,Dreamshape,Mercenary,Mechanical,No,0,15,3,9,16,15,,,None,,,,
Element Storm,Dreamshape,Mercenary,Elemental,No,0,15,4,9,16,16,,,None,,,,
Abominable Snowman,Dreamshape,Mercenary,Mechanical,No,0,20,1,12,20,20,,,None,,,,
Calvary,Dreamshape,Mercenary,Shadow,No,0,20,2,12,20,21,,,None,,,,
Rokket,Dreamshape,Mercenary,Elemental,No,0,20,3,12,22,20,,,None,,,,
Smasher,Dreamshape,Mercenary,Animalistic,No,0,20,4,12,21,22,,,None,,,,
Reinforcer,Dreamshape,Mercenary,Shadow,No,0,4,1,4,1,2,,,On Death Play A 2 Cost Dreamshape From Your Hand For Free,,,,
Wish Granter,Dreamshape,Mercenary,Void,No,0,4,3,3,3,3,,,On Death Draw A Card,,,,
Ambassador Apprentice,Dreamshape,Mercenary,Void,No,0,3,2,1,1,1,,,On Spawn Search The Main Deck For Another [Ambassador] And Put It In Your Hand,,,,
Ambassador Of Outlander,Dreamshape,Outlander,Void,No,1,7,2,4,1,4,,,On Spawn Give All [Ambassador] Units 2 Defense,On Turn End If 3 Cards with [Ambassador] In Its Name From 3 Different Factions Are Alive Reduce Opponents Morale To 0,Only 6 Other Cards With [Ambassador] In Its Name Can Be In The Main Deck,,
Armorer,Dreamshape,Outlander,Animalistic,No,2,5,4,4,3,6,,,On Spawn Allies In - Gain 1 Attack,,,,
Archer,Dreamshape,Outlander,Mechanical,No,1,5,3,4,5,6,,,None,,,,
Baby Rattler,Dreamshape,Outlander,Animalistic,No,1,2,2,2,3,1,,,None,,,,
Blaster,Dreamshape,Outlander,Shadow,No,2,5,2,5,1,3,,,Ranged,Bash,Poison[2],,
Cannonier,Dreamshape,Outlander,Mechanical,No,3,5,2,5,6,4,,,Overkill,,,,
Chiller,Dreamshape,Outlander,Flora,No,1,2,2,1,2,2,,,None,,,,
Collaborator,Dreamshape,Outlander,Flora,No,4,8,4,6,9,3,,,On Spawn Gain 1 Defense For Every Ally Dreamshape Or Token On The Field,,,,
Crook,Dreamshape,Outlander,Shadow,No,1,2,1,2,1,1,,,On Spawn Remove All Natural Effects From A Dreamshape,,,,
Defender,Dreamshape,Outlander,Mechanical,No,2,3,4,2,1,2,,,Active Allies In | Gain Armor[2],Dedication[1 Outlander],,,
Drunk Durg,Dreamshape,Outlander,Mechanical,No,1,2,3,2,3,2,,,Reimagine[1][Set Initiative To 2],Reimagine[2][Set Initiative To 1],,,
Follower,Dreamshape,Outlander,Flora,No,1,7,2,2,5,4,,,Tribute Decrease Play Cost By 1 For Each Other Friendly Outlander Dreamshape On The Field,,,,
Initiator,Dreamshape,Outlander,Animalistic,No,2,4,4,3,1,1,,,Active Decrease All Ally Dreamshape's Initiative By 1,,,,
Hound Trainer,Dreamshape,Outlander,Animalistic,No,2,4,1,4,4,5,,,None,,,,
Leader,Dreamshape,Outlander,Flora,No,2,3,3,3,2,4,,,On Spawn Place Another Outlander Dreamshape From Hand For 2 Less Energy,,,,
Obliterator,Dreamshape,Outlander,Mechanical,No,4,10,2,4,5,5,,,On Spawn Remove All Non-Natural Effects From All Enemies,Ranged,Barrier,,
Pet Wormy,Dreamshape,Outlander,Flora,No,1,2,1,2,0,2,,,On Spawn Search Your Deck For A Copy Of A Card That Has [Wormy] In Its Name; Put On Top Of Your Deck After Shuffling,,,,
Reaching Vines,Dreamshape,Outlander,Void,No,2,5,2,4,3,4,,,On Spawn Search Your Deck For 2 Copies Of The Same Flora Card; Discard 1 And Then Put The Other In Your Hand,,,,
Scrapper,Dreamshape,Outlander,Mechanical,No,2,5,4,3,4,3,,,On Spawn For Each Mechanical Ally This Card Gains Armor[1],,,,
Sacrificial Lamb,Dreamshape,Outlander,Void,No,2,0,4,1,0,1,,,None,,,,
Sharpshooter,Dreamshape,Outlander,Shadow,No,3,6,4,4,8,7,,,None,,,,
Shark,Dreamshape,Outlander,Elemental,No,2,5,2,4,5,5,,,Kill[Reduce The Cost Of Next Distort Or Warp Played By 1],,,,
Shadow Walker,Dreamshape,Outlander,Shadow,No,2,5,4,5,1,6,,,Active Shadow Dreamshapes Ignore Faction Restrictions,During Placement Phase You May Move This Dreamshape,,,
Shadow Striker,Dreamshape,Outlander,Shadow,No,1,7,2,4,3,5,,,Active Give All Shadow Units Swift And Ranged,Volatile[2],,,
Shrum,Dreamshape,Outlander,Flora,No,2,2,3,2,2,1,,,On Spawn Give An Ally Dreamshape Or Token 2 Defense,,,,
Spiked Wormy,Dreamshape,Outlander,Animalistic,No,1,2,1,2,2,1,,,None,,,,
Swifty,Dreamshape,Outlander,Elemental,No,2,4,1,4,4,5,,,Reimagine[1][Swift],,,,
Warden,Dreamshape,Outlander,Flora,Yes,6,14,2,8,12,15,,,On Spawn Give All Allies Barrier,,,,
Wormy Farmer,Dreamshape,Outlander,Void,No,2,4,3,3,2,4,,,"Active At Start Of Placment Spawn 1 Wormy Token (I1, B1, A1, D2) In An Available Space",,,,
Acid Krog,Dreamshape,Sect13,Shadow,No,1,3,1,3,2,3,,,On Spawn Apply 1 Poison Stack To Enemies In |,,,,
